price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price13,price14,price15,price16,price17,price18,price19,price20,price21,price22,price23,price24,price25,price26,price27,price28,price29,price30,low_media,low_media_iter2,low_media_iter3,low_delta,high_media,high_media_iter2,high_media_iter3,high_delta,subida_exa,subida_exa_index
34636.5,34460.07,34428.4,34379.8,34456.35,34316.3,34279.11,34411.71,34643.26,34560,34660.99,34567.48,34380.7,34481.43,34552.68,34521.28,34317.16,34155.12,34234.47,34196.79,34263.13,34362.28,34264.62,34188.76,34253.88,34315.64,34413.37,34443.86,34359.07,34479.9,32697.7,33027.2,33156.6,33141.1,34587.9,34530.9,34502.9,34491.3,1,8
34915.46,34882.44,34970.95,34964.21,34860.19,34839.57,34996.62,34857.08,34858.31,35025.52,35049.07,35300,35243.5,35353.48,35334.04,35407.93,35401.48,35518.78,35511.04,35544.91,35553.48,35540,35562.31,35606.42,35522.02,35422.82,35499.83,35535.29,35404.47,35410.16,33201.2,33826.7,34026.1,33767.4,35195,35142.2,35120.9,35071,1,11
35184.9,35170.17,35132.65,35053.82,35046.42,35169.9,35265.51,35363.48,35374.31,35370.5,35422.99,35407.18,35291.86,35360.27,35204.42,35359.7,35443.42,35424.42,35390.83,35242.66,35204.77,35125.42,35059.39,35063.83,35073.58,35085.46,34932.54,34990.48,34965.04,34923.36,34078.1,34284.3,34394.7,34105.4,35283.8,35187,35137.6,35318.9,1,7
35945.37,36063.3,36010.93,36051.49,36034.01,35926.4,35799.04,35875.31,35851.81,35889.7,35807.42,35722.53,35761.29,35761.63,35842.61,35846.4,35864.32,35777.42,35835.68,36088.58,36118.15,36193.28,36139.95,36188.27,36126.36,36116.27,36130,36236.96,36222.71,36268.47,34968.7,35112.6,35184.4,34724,36041.6,35985.8,35945.4,35627.9,1,1
35902.92,35826.75,35900.95,35887.52,35961.84,35934.12,36058.99,36263.36,36244.99,36359.99,36431.21,36550,36529.54,36590.26,36473.75,36445.6,36482.92,36432.81,36456.57,36467.2,36516.8,36476.29,36393.21,36442.77,36502.99,36475.07,36437.97,36432.17,36413.6,36488.37,35374.5,35491.4,35554.7,35705.4,36021.3,35973.7,35949.7,36465.7,1,9
34790.87,34752.24,34657.81,34737.64,34739.94,34689.11,34722.81,34805.67,34698.61,34666.95,34798.97,34881.49,34896.7,34840.72,34964.55,35056.84,34955.21,34980.01,34989.07,34949.73,34860.09,34929.23,35050.43,35155.35,35103.81,35028.5,35026.19,34945.22,34986.9,34970.22,33405.2,33486.7,33539.5,33371.9,34757.8,34753.5,34752.1,34186.9,1,7
34476.01,34547.47,34617.5,34650.45,34701.23,34765.73,34734.39,34770.43,34821.91,34792.47,34883.63,34818.44,34831.93,34780.1,34866.04,34874.39,34925.37,34944.66,34961.96,34874.01,34910.75,34823.09,34737.62,34768.32,34754.94,34805.37,34838.35,34723.66,34759.78,35000,33676.6,33949.3,34127.9,34442.2,34676.2,34579.7,34529.1,35141.6,1,4
34811.55,34870.43,34983.62,35058,35210.01,35176.7,35245.5,35159.24,35072.76,34798.22,34708.79,34760,34662.58,34610.94,34574.73,34486.12,34610.22,34595.27,34578.25,34495.14,34410.7,34379.06,34316.58,34287.18,34362.38,34388.94,34415.18,34386.76,34385.48,34338.28,34435,34580.3,34670.1,34601.5,35017.3,34965,34936,35256.4,1,3
37805.73,37737.95,37717.58,37731.04,37784,37852.89,37934,37992.54,38083.88,38285.58,38349.63,38370,38333.33,38331.45,38368.18,38340.87,38294.36,38311.64,38311.53,38425,38490.21,38482.17,38458.99,38447.45,38411.23,38388.49,38458.3,38559.63,38557.99,38437.97,37428.4,37527.3,37591.5,37760.2,37881.1,37867.8,37862.5,38262.5,1,7
38852.84,38870.61,38880.1,38845.05,38806.29,38888.41,38916.87,39000,39188.25,39186.66,39176.39,39200.83,39244.71,39235.14,39208.45,39281.45,39353.73,39361.2,39295.52,39267.38,39192.29,39248.52,39262.39,39240.27,39200.01,39219.52,39152.09,39177.79,39260.9,39315.56,38355.1,38605.9,38738.7,38585,39135,39046.8,38994.3,39070,1,8
38645.66,38609.4,38608.93,38564.81,38570.97,38601.87,38630.73,38685.98,38767.36,38754.34,38730.01,38739.99,38704.14,38630,38579.08,38606.28,38570.01,38541.9,38516.41,38562.13,38551.47,38552.21,38560.01,38529.32,38491.8,38513.59,38494.72,38530.51,38577.7,38579.53,38174.4,38347.6,38403.5,38149.6,38735.3,38683.8,38661.2,38648.1,1,8
36722.41,36911.85,37157.64,37231.66,37414.79,37337.77,37330.79,37254.17,37441.78,37377.6,37342.71,37339.37,37314.96,37395.76,37292.92,37292.92,37297.87,37316.21,37224.11,37153.73,37218.3,37271.59,37320.76,37298.15,37286.29,37296.81,37352.68,37346.17,37464.3,37423.2,36321.6,36416.8,36506.2,36273.2,36946.1,36855.9,36805.7,36807.7,1,2
37263.78,37240.86,37258.86,37348.62,37508.74,37495.38,37662.55,37611.87,37563.72,37582.05,37552.44,37581.02,37495.43,37509.72,37587.87,37538.66,37600,37451.32,37437.03,37419.63,37431.18,37374.97,37401.87,37377.11,37462.72,37425.29,37407.12,37410.91,37461.99,37615.81,36742.9,36871.7,36954.6,37080.5,37340.2,37298.7,37272.5,37595.8,1,3
36128.96,36179.72,36352.77,36305.01,36316.98,36384.7,36357.76,36350.35,36384.31,36414.77,36371.94,36335.7,36299.1,36264.48,36249.25,36241.08,36296.26,36276.94,36216.02,36225.46,36232.37,36205.27,36188.29,36218.24,36134.89,36169.11,36170,36063.28,35994.98,35874.39,35525.1,35713,35865.6,35740.4,36275.9,36173.1,36137.6,36216.2,1,2
