price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price13,price14,price15,price16,price17,price18,price19,price20,price21,price22,price23,price24,price25,price26,price27,price28,price29,price30,low_media,low_media_iter2,low_media_iter3,low_delta,high_media,high_media_iter2,high_media_iter3,high_delta,subida_exa,subida_exa_index
28895.01,28819.27,28745.2,28766.58,28830.36,28855.2,28910.28,28881.4,28856.37,28874.78,28912.91,28966.14,28970.24,28973,28999.99,28995.41,28998.22,28982.94,28988.88,29005.3,29007.26,29007.98,28991.45,28985.5,28947.73,28955.65,28933.56,28940.32,28972.2,29008.71,28749.6,28785.5,28803.1,28838.8,29012.5,28986.3,28967.7,29132.2,1,2
28887.36,28829.8,28843.01,28832.13,28862.79,28889.8,28927.16,28913.88,28937.87,28958.44,28951.24,28968.86,28981.75,28982.32,28974.71,28966.96,28947.06,28921.55,28943.09,28957.49,28910.51,28894.35,28925.9,28976.56,28981.99,28937.47,28934.86,28938.44,28926.31,28896.12,28757.4,28804.6,28833.5,29012.7,29035.4,28993.3,28956.3,29303.3,1,1
28900,28885,28861.24,28859.05,28894.28,28881.78,28890,28837.79,28874.21,28879,28855.19,28849.34,28818.3,28757.33,28746.95,28642.19,28656.47,28714.41,28745.39,28805.15,28770.49,28796.92,28801.29,28831.03,28816.34,28809,28866.78,28863.81,28857.31,28882.85,28775.1,28810.5,28839,28715.3,28993.8,28947.4,28926.3,29004.6,1,7
28624.56,28592.69,28542.44,28504.16,28402.08,28315.69,28397.97,28215.29,28265.07,28292.56,28190.39,28166.66,27987.64,28087.8,28216.83,28194.33,28232.61,28256.78,28247.52,28200,28271.18,28312.11,28310.9,28345.01,28345.49,28314.59,28320,28341.64,28355.01,28394.48,28485.9,28545,28565.6,28709.3,29032.4,28963.5,28916.5,28966.1,1,2
28432.4,28367.36,28330.52,28341.01,28392.15,28348.57,28397.63,28366.23,28356.12,28361.68,28299.19,28245.28,28285.76,28334.25,28305.43,28252.52,28295.25,28309.21,28420,28420.65,28401.68,28378.4,28397.31,28374.5,28264.23,28210.23,28171.83,28217.78,28214.5,28218.48,28124.7,28323.9,28390.4,28203.6,28867.9,28678.4,28578.7,28485.7,1,1
28208.18,28159.88,28191.09,28177.99,28198.53,28220.71,28268.42,28261.01,28275.35,28302.01,28358.67,28326.38,28339.04,28340.33,28306.86,28313.34,28334.49,28334.9,28399.98,28419.47,28442.85,28436.85,28418.26,28419.87,28422.91,28406.46,28375.36,28390.49,28371.51,28404.21,28070.5,28154.9,28194.1,28251.6,28778.8,28528.2,28407.5,28538.6,1,1
28726.62,28693.37,28690.29,28715.11,28735.88,28732.01,28700.01,28720,28719.85,28708.71,28706.24,28678.19,28653.79,28648.53,28603.55,28595.65,28606.44,28630.53,28669.24,28702.03,28671.3,28673.95,28664.27,28684.4,28728.06,28726.62,28716.15,28678.78,28641.22,28650.53,28555.7,28653.7,28714.6,28387.1,28925.2,28871.5,28844.9,28684.1,1,1
28636.92,28613.93,28637.25,28657.75,28666.51,28676.14,28662.59,28620.01,28541.25,28564.84,28555,28590,28583,28490.3,28536.63,28549.07,28514.46,28464.4,28433.39,28370.22,28354.84,28323.93,28405.23,28428.78,28419.99,28395.98,28377.77,28380.06,28380.6,28400,28530.1,28594.4,28625.3,28626.7,28864.7,28796.4,28757.2,28926.2,1,1
28637.12,28630.41,28625.72,28643.94,28646.7,28632.06,28563.8,28587.54,28608.72,28621.76,28606.42,28651.16,28673.95,28710.7,28687.71,28673.46,28665.44,28667.19,28684.42,28653.4,28637.46,28634.62,28623.73,28591.15,28595.51,28543,28557.04,28566.12,28571.97,28541.53,28435.7,28527.9,28580.2,28205.6,28749,28688.5,28662.7,28513.2,1,6
28997.8,28983.73,28990.04,29047.44,29014.18,29038.88,29031.93,29050.83,29053.25,29058.31,29056.67,29095.75,29072.29,29071.22,29066.47,29071.75,29089.21,29083.63,29084.51,29083,29032.31,29004,29006.11,29020.88,28992.22,28977.57,28961.61,28985.22,29002.88,28926.55,28888.6,28965.4,28995,28950.8,29130.8,29102.4,29083.7,29193.4,1,1
29304.93,29302.65,29221.07,29230.01,29214.94,29219.06,29215.22,29190.41,29200.01,29182.76,29127.56,29159.74,29173.38,29172.58,29189.92,29187.86,29214.9,29214.95,29196.39,29218.79,29216.44,29211.72,29208.64,29214.23,29219.2,29215.49,29211.97,29223.9,29220.31,29209.76,29123.9,29193.2,29224.5,29216.8,29400.6,29376.4,29364.2,29427.2,1,2
29200.72,29169.29,29144.93,29164.78,29161.08,29177.63,29173.93,29135.57,29094.32,29111.14,29125.84,29128.64,29109.97,29126.61,29163.56,29147.51,29134.2,29136.63,29158.34,29144.32,29154.48,29149.76,29151.54,29163.01,29172.55,29189.97,29153.41,29175.99,29161.28,29159.24,29017.1,29071.2,29115.9,29233.9,29316.6,29278.5,29249.6,29450.7,1,8
29144.04,29118.04,29122,29099.87,29079.43,29044.26,29027.52,29034.75,29044.25,29056.75,29025.02,29000.31,29004.11,29006.71,28981.49,28960.43,28993.18,28938.97,28931.47,28911.13,28882.65,28932.86,28973.92,28998.77,28980.01,29012.15,29025,29041.03,29033.9,29060,28996.7,29044.5,29080,28893.1,29213.4,29171.1,29155.7,29102.4,1,4
29374.56,29403.99,29427.56,29441.61,29466.74,29492.09,29522.55,29494.66,29447.89,29424.29,29444.8,29444.31,29480,29451.2,29432.98,29389.74,29402.2,29414.06,29425.61,29429.56,29434.09,29440.68,29452.25,29424.2,29423.74,29429.9,29434.76,29433.37,29415.94,29424.02,29247.3,29310.6,29402.6,29278.1,29590.4,29528.4,29499,29482.7,1,0
